id,sexo,idade,modalidade,min_af_semana,imc,perc_gordura,vo2max,ativo
E043,Masculino,25,Coletivos,240,20.4,16.8,57,Sim
E044,Masculino,23,Coletivos,25,24.8,13.3,49.4,Não
E045,Feminino,25,Nenhuma,9,24,29.5,42,Não
E046,Masculino,22,Corrida,229,28.7,24.7,50.9,Sim
E047,Masculino,20,Coletivos,128,23.4,17.3,50.5,Não
E048,Feminino,20,Musculação,215,22,25.1,50.3,Sim
E049,Masculino,24,Coletivos,103,22.7,23.1,47.5,Não
E050,Masculino,28,Nenhuma,54,16,15.5,49.2,Não
E051,Masculino,21,Coletivos,171,28.6,16,53.1,Sim
E052,Masculino,20,Nenhuma,26,29.2,22.9,56.9,Não
E053,Masculino,24,Musculação,372,20.6,13.8,56.2,Sim
E054,Masculino,20,Musculação,95,27.7,19.4,51,Não
E055,Masculino,21,Corrida,107,27.3,21.5,47.8,Não
E056,Masculino,18,Coletivos,86,18.4,10.1,45.9,Não
E057,Masculino,18,Corrida,90,16.6,10.8,50,Não
E058,Masculino,24,Coletivos,104,25.9,17.8,50.8,Não
E059,Feminino,29,Corrida,184,18.6,23.2,45.1,Sim
E060,Masculino,20,Nenhuma,186,25.8,18.6,52.8,Sim
E061,Masculino,21,Coletivos,274,20.4,17.3,NA,Sim
E062,Masculino,26,Nenhuma,28,19.5,NA,56.5,Não
E063,Masculino,18,Coletivos,168,28.7,23.7,52.7,Sim
E064,Feminino,27,Nenhuma,36,25.1,33.5,41.9,Não
E065,Feminino,22,Nenhuma,18,22.6,30.6,36.7,Não
E066,Masculino,22,Nenhuma,82,22.2,18.3,45.4,Não
E067,Masculino,20,Nenhuma,79,25.2,16.5,53.5,Não
E068,Feminino,23,Corrida,87,26.1,25.6,42.6,Não
E069,Feminino,21,Corrida,242,26.9,30.3,44,Sim
E070,Masculino,20,Coletivos,28,26,20,45.5,Não
E071,Feminino,23,Musculação,118,18.5,24.1,45,Não
E072,Masculino,27,Coletivos,132,18.5,14.4,46.2,Não
E073,Feminino,18,Coletivos,141,21,27.7,47.6,Não
E074,Feminino,26,Coletivos,137,29.7,30.2,34.8,Não
E075,Masculino,21,Corrida,200,26,24.5,51.5,Sim
E076,Masculino,22,Nenhuma,5,28,21.3,NA,Não
E077,Feminino,25,Corrida,247,23.9,29.4,49.9,Sim
E078,Feminino,30,Nenhuma,49,27.5,27.1,40.7,Não
E079,Feminino,21,Corrida,164,20.2,23.9,42.2,Sim
E080,Masculino,22,Nenhuma,74,24.5,15.4,NA,Não
E081,Masculino,20,Coletivos,88,28.9,15.4,42.7,Não
E082,Feminino,21,Corrida,176,19.6,18.1,46.8,Sim
E083,Masculino,26,Coletivos,331,29.3,26.3,45.7,Sim
E084,Masculino,33,Nenhuma,39,25.1,14.5,45.4,Não
E085,Masculino,24,Corrida,178,27.2,12.6,49.4,Sim
E086,Feminino,26,Coletivos,234,22.9,23.3,46.5,Sim
E087,Feminino,25,Corrida,86,26.2,24.9,39.1,Não
E088,Feminino,19,Musculação,219,24.8,27.8,46.6,Sim
E089,Feminino,19,Coletivos,68,21.4,23.3,49.4,Não
E090,Masculino,27,Musculação,167,21.5,15,52.5,Sim
E091,Feminino,24,Musculação,191,24.2,24.5,45.4,Sim
E092,Feminino,21,Coletivos,232,26.1,26.8,52.6,Sim
E093,Feminino,30,Corrida,163,27.7,30.1,46.5,Sim
E094,Masculino,18,Coletivos,220,24,19.1,NA,Sim
E095,Feminino,23,Musculação,434,23,21.2,46.1,Sim
E096,Feminino,18,Coletivos,163,23.7,31.4,42.2,Sim
E097,Feminino,24,Musculação,87,24.5,29.7,50.7,Não
E098,Feminino,18,Coletivos,210,24,23.8,41.1,Sim
E099,Feminino,27,Musculação,50,24.8,23.8,44,Não
E100,Feminino,25,Coletivos,273,24.4,27.5,56.3,Sim
E101,Feminino,27,Corrida,155,23.7,22.6,40.2,Sim
E102,Masculino,23,Musculação,354,19.1,8.3,61.3,Sim
E103,Masculino,21,Corrida,385,23.6,10.5,51.8,Sim
E104,Masculino,26,Nenhuma,17,25,18.7,43.7,Não
E105,Feminino,23,Corrida,179,29.9,32,40.4,Sim
E106,Masculino,22,Musculação,113,23.7,14.2,50.4,Não
E107,Masculino,30,Musculação,297,20.7,17.7,50.5,Sim
E108,Feminino,29,Coletivos,114,16,13.9,43,Não
E109,Feminino,22,Coletivos,59,24,23.2,45.3,Não
E110,Masculino,22,Musculação,282,16,9.9,59.2,Sim
E111,Masculino,25,Musculação,95,20.5,14.6,51.6,Não
E112,Feminino,18,Musculação,232,16.7,15.5,55.1,Sim
E113,Masculino,20,Nenhuma,3,23.1,17.3,45.6,Não
E114,Masculino,24,Corrida,405,26.8,16,53.3,Sim
E115,Feminino,23,Nenhuma,15,27.1,NA,51.2,Não
E116,Masculino,26,Corrida,173,20.4,8.4,41.7,Sim
E117,Masculino,20,Coletivos,325,24.7,15.3,50.2,Sim
E118,Masculino,25,Musculação,216,21.2,13.2,56.4,Sim
E119,Masculino,30,Nenhuma,205,26.3,21.2,49.9,Sim
E120,Feminino,20,Nenhuma,49,22.4,18.1,44.5,Não
E121,Masculino,21,Corrida,45,26.2,24.7,41.1,Não
E122,Masculino,19,Corrida,417,20.2,11.3,56.8,Sim
E123,Feminino,30,Coletivos,80,24.6,NA,41.7,Não
E124,Masculino,23,Musculação,38,21,15.3,50.9,Não
E125,Masculino,18,Nenhuma,38,22.5,18.3,48.5,Não
E126,Masculino,25,Nenhuma,14,27.5,20.6,46.9,Não
E127,Feminino,22,Musculação,334,28.9,26.8,45.1,Sim
E128,Masculino,19,Nenhuma,113,24.3,14.9,55.8,Não
E129,Masculino,24,Coletivos,311,25.8,NA,60,Sim
E130,Feminino,27,Musculação,71,26.8,29.2,39.3,Não
E131,Masculino,20,Corrida,397,20.9,8.8,53.1,Sim
E132,Feminino,23,Musculação,219,19.1,21.1,53.2,Sim
E133,Feminino,18,Musculação,159,25.4,NA,43.6,Sim
E134,Feminino,18,Coletivos,325,23.9,25,46.9,Sim
E135,Feminino,21,Coletivos,293,24,28.4,43,Sim
E136,Feminino,26,Corrida,130,22.9,19.2,43.4,Não
E137,Feminino,18,Coletivos,211,18.5,21.9,49,Sim
E138,Feminino,26,Coletivos,486,28.6,26.1,41.5,Sim
E139,Feminino,24,Musculação,170,22.8,25.8,52.3,Sim
E140,Feminino,29,Coletivos,329,27,23.5,39.8,Sim
E141,Feminino,29,Nenhuma,27,21.5,19.5,44.1,Não
E142,Feminino,31,Coletivos,239,25.8,27.3,41.6,Sim
E143,Feminino,24,Musculação,326,22.7,24.5,47,Sim
E144,Masculino,23,Corrida,450,25.9,18.4,51.8,Sim
E145,Masculino,27,Corrida,141,26.8,15,40.6,Não
E146,Feminino,21,Corrida,283,25,19.6,52.3,Sim
E147,Masculino,28,Coletivos,56,22.3,20.4,50.8,Não
E148,Masculino,19,Corrida,107,22.7,14.8,55.8,Não
E149,Feminino,20,Corrida,393,22.2,23,51.2,Sim
E150,Feminino,21,Corrida,578,21.5,21.7,47.7,Sim
E151,Masculino,25,Musculação,167,23.4,14.4,48.3,Sim
E152,Masculino,26,Coletivos,371,23.3,10.2,54.8,Sim
E153,Masculino,25,Nenhuma,4,26.5,19.2,35.3,Não
E154,Masculino,24,Corrida,73,24.8,14.8,43.5,Não
E155,Feminino,30,Coletivos,340,21.4,21,47.2,Sim
E156,Masculino,19,Nenhuma,49,26,23,44.4,Não
E157,Masculino,29,Coletivos,80,25.9,NA,43.4,Não
E158,Masculino,23,Nenhuma,29,23,11.9,48.3,Não
E159,Masculino,22,Coletivos,90,25.2,14.9,44,Não
E160,Masculino,21,Musculação,109,24.1,15.5,46.3,Não
E161,Feminino,24,Coletivos,274,22.9,30,52.6,Sim
E162,Masculino,20,Corrida,308,22.1,15.4,52.9,Sim
E163,Masculino,21,Coletivos,67,20.5,NA,58.4,Não
E164,Masculino,22,Musculação,216,22.5,15.2,52.2,Sim
E165,Feminino,18,Coletivos,242,21.6,22.9,57.7,Sim
E166,Feminino,27,Coletivos,223,21,20.6,45,Sim
E167,Feminino,23,Nenhuma,29,24.1,24.9,36.9,Não
E168,Feminino,27,Nenhuma,132,24,27.9,43.9,Não
E169,Feminino,24,Musculação,318,26.4,24.4,46.2,Sim
E170,Masculino,18,Corrida,107,24.4,10.9,51.9,Não
E171,Feminino,23,Corrida,230,26.4,31.8,45,Sim
E172,Masculino,24,Nenhuma,19,22.3,15.7,44.9,Não
E173,Masculino,21,Nenhuma,74,17.5,14.4,53.2,Não
E174,Masculino,22,Coletivos,257,26.8,16.9,43.7,Sim
E175,Feminino,21,Nenhuma,49,17.5,24.7,44,Não
E176,Feminino,18,Coletivos,297,27.3,28.8,NA,Sim
E177,Feminino,20,Nenhuma,51,22.8,28.9,43.4,Não
E178,Masculino,18,Musculação,257,28.1,22.5,50,Sim
E179,Masculino,20,Corrida,167,26.1,19.9,53.5,Sim
E180,Feminino,19,Coletivos,338,19.9,13.8,62.1,Sim
E181,Feminino,23,Musculação,214,23.7,22.9,48,Sim
E182,Masculino,24,Corrida,280,20.5,8,52.4,Sim
E183,Masculino,20,Musculação,578,16,5,65.7,Sim
E184,Masculino,20,Nenhuma,69,28.2,NA,45.3,Não
E185,Masculino,21,Coletivos,195,23.4,15.5,51.6,Sim
E186,Masculino,24,Nenhuma,125,24.8,16.4,38,Não
E187,Masculino,23,Musculação,213,18.1,16.5,50.5,Sim
E188,Feminino,24,Coletivos,217,25.2,26.5,46,Sim
E189,Feminino,25,Musculação,121,21.2,28.4,39.7,Não
E190,Masculino,20,Musculação,112,23.5,17.4,48.1,Não
E191,Feminino,18,Musculação,131,19.7,21.6,45.9,Não
E192,Masculino,27,Corrida,125,24.9,18.1,46.6,Não
E193,Feminino,25,Musculação,405,23.3,17.7,44.6,Sim
E194,Masculino,23,Musculação,164,24.3,20.9,47.6,Sim
E195,Masculino,30,Nenhuma,16,34.2,24.5,44.1,Não
E196,Feminino,23,Corrida,376,24,28,46.1,Sim
E197,Masculino,29,Corrida,238,21.7,16,60.9,Sim
E198,Masculino,25,Coletivos,61,24.1,17.1,43.5,Não
E199,Feminino,25,Musculação,15,18.6,NA,NA,Não
E200,Feminino,24,Corrida,234,23.9,28.5,48.4,Sim
E201,Masculino,25,Corrida,361,20.6,13,58.5,Sim
E202,Feminino,20,Coletivos,219,23.2,23.2,46.3,Sim
E203,Masculino,18,Coletivos,119,27.5,22.8,55.2,Não
E204,Masculino,21,Corrida,64,23.4,NA,49.3,Não
E205,Masculino,22,Coletivos,73,25.4,17.7,44.4,Não
E206,Masculino,18,Nenhuma,77,24.6,19.5,51.9,Não
E207,Masculino,25,Coletivos,320,31.6,24,49.7,Sim
E208,Masculino,18,Coletivos,380,28.3,19.5,43.5,Sim
E209,Masculino,22,Musculação,251,25.1,NA,49.5,Sim
E210,Feminino,18,Coletivos,129,19.5,NA,46.4,Não
E211,Masculino,31,Coletivos,119,31,23.8,44.2,Não
E212,Feminino,18,Corrida,237,27.8,23,49.5,Sim
E213,Masculino,18,Nenhuma,73,23.8,18.7,42.7,Não
E214,Masculino,24,Musculação,343,22.8,14.1,53.5,Sim
E215,Feminino,21,Musculação,350,20.2,17.1,37.2,Sim
E216,Masculino,23,Coletivos,330,24,NA,51.2,Sim
E217,Feminino,18,Nenhuma,6,28.7,26.1,41.4,Não
E218,Feminino,18,Musculação,333,20.5,27,48.8,Sim
E219,Masculino,21,Nenhuma,20,23,18.8,50.1,Não
E220,Feminino,22,Musculação,137,24.9,25.5,48.2,Não
E221,Masculino,21,Musculação,305,26.7,20.3,52.8,Sim
E222,Masculino,25,Nenhuma,40,24.2,16.8,45.8,Não
E223,Masculino,26,Corrida,239,26.4,10.5,47.9,Sim
E224,Masculino,24,Nenhuma,1,20.1,15.3,NA,Não
E225,Masculino,29,Corrida,254,24.5,17.1,50.9,Sim
E226,Feminino,19,Nenhuma,22,26.8,30,40.1,Não
E227,Feminino,22,Corrida,422,19.5,18.8,57.2,Sim
E228,Masculino,21,Nenhuma,138,17.3,14.1,47.7,Não
E229,Masculino,32,Nenhuma,68,20,12.8,47.1,Não
E230,Masculino,23,Nenhuma,3,25.2,15.9,46.5,Não
E231,Feminino,23,Musculação,62,21.7,20.1,44.1,Não
E232,Feminino,19,Musculação,45,24.4,27.5,43.5,Não
E233,Masculino,23,Coletivos,338,21.8,10.2,55.6,Sim
E234,Feminino,20,Nenhuma,21,16.9,18.8,49.7,Não
E235,Feminino,18,Nenhuma,57,16.9,26.7,47.7,Não
E236,Feminino,22,Corrida,137,19,17.5,39.9,Não
E237,Feminino,24,Musculação,199,20.9,23,44.6,Sim
E238,Feminino,22,Musculação,225,23.5,27.2,46.4,Sim
E239,Feminino,20,Corrida,66,17.1,22.3,50.5,Não
E240,Feminino,21,Nenhuma,144,28.7,27.2,32.9,Não
E241,Feminino,19,Coletivos,183,16,20,49.5,Sim
E242,Feminino,25,Corrida,226,24.4,25.4,48.4,Sim
E243,Feminino,22,Musculação,231,18.1,20.2,47,Sim
E244,Masculino,23,Coletivos,394,27.4,18.4,53.2,Sim
E245,Feminino,19,Coletivos,291,25,20.5,44,Sim
E246,Masculino,28,Nenhuma,4,24.8,23.8,49.7,Não
E247,Masculino,20,Coletivos,211,22.3,17.5,45.9,Sim
E248,Masculino,18,Corrida,217,31.5,24.9,43.9,Sim
E249,Feminino,22,Musculação,536,20.3,23.1,52.3,Sim
E250,Feminino,29,Musculação,294,24.9,30.3,43.9,Sim
E251,Masculino,24,Musculação,158,23.9,15.1,43.3,Sim
E252,Feminino,18,Coletivos,238,30.8,29.1,45.7,Sim
E253,Feminino,26,Nenhuma,61,21.4,23.1,38.5,Não
E254,Feminino,20,Musculação,239,28.9,32.2,45.8,Sim
E255,Feminino,26,Coletivos,44,24.6,28.1,48.8,Não
E256,Masculino,31,Nenhuma,36,23.4,16.4,57.4,Não
E257,Masculino,25,Corrida,129,29.7,21.9,42.1,Não
E258,Masculino,23,Nenhuma,6,29.2,23.9,47.2,Não
E259,Feminino,18,Nenhuma,18,22,20.2,39.6,Não
E260,Masculino,25,Musculação,362,21.7,10,57.5,Sim
E261,Masculino,18,Corrida,129,20,9.5,53.9,Não
E262,Feminino,24,Coletivos,130,22.5,28,38.9,Não
E263,Feminino,22,Coletivos,362,21.7,30,43.3,Sim
E264,Feminino,24,Coletivos,156,24.3,24.9,NA,Sim
E265,Feminino,20,Coletivos,268,27.3,24.8,46.8,Sim
E266,Masculino,29,Nenhuma,164,23.4,NA,50.3,Sim
E267,Feminino,18,Corrida,138,24.8,21.3,41.9,Não
E268,Masculino,25,Coletivos,179,19,10.6,54.9,Sim
E269,Masculino,20,Musculação,375,18.6,16.9,64.6,Sim
E270,Feminino,26,Corrida,57,21.7,21.1,44.5,Não
E271,Masculino,20,Corrida,291,26.4,15.9,49.3,Sim
E272,Masculino,28,Coletivos,255,25.5,12.5,49.5,Sim
E273,Masculino,18,Musculação,312,31.6,22.8,47.8,Sim
E274,Masculino,18,Musculação,143,25.3,14.8,42.1,Não
E275,Masculino,32,Corrida,117,25.4,17.8,50.4,Não
E276,Masculino,25,Musculação,95,20.2,17.7,39.4,Não
E277,Feminino,29,Corrida,214,22.1,29.5,48.7,Sim
E278,Masculino,24,Musculação,28,25.4,20.7,45.5,Não
E279,Masculino,18,Corrida,434,23.6,15.6,51.5,Sim
E280,Masculino,28,Musculação,112,27.2,20.2,42.8,Não
